"","uID","uLoc","rep","year","height","X","Y","year_num","gapID_num","height_mod"
"103","5161:32","5161:32",1,2004,45,104.08,-138.82,3,NA,20.1751648765781
"104","5161:32","5161:32",1,2003,25,104.08,-138.82,2,NA,0.175164876578105
"105","5161:32","5161:32",0,2002,4,104.08,-138.82,1,NA,-20.8248351234219
"106","5161:33","5161:33",1,2004,35,104.01,-138.88,3,NA,10.1751648765781
"107","5161:33","5161:33",1,2003,35,104.01,-138.88,2,NA,10.1751648765781
"108","5161:33","5161:33",0,2002,2,104.01,-138.88,1,NA,-22.8248351234219
"109","5161:34","5161:34",1,2004,49,104.67,-139.8,3,NA,24.1751648765781
"110","5161:34","5161:34",1,2003,34,104.67,-139.8,2,NA,9.1751648765781
"111","5161:34","5161:34",0,2002,5,104.67,-139.8,1,NA,-19.8248351234219
"112","5161:35","5161:35",1,2004,38,102.09,-140.11,3,NA,13.1751648765781
"113","5161:35","5161:35",1,2003,19,102.09,-140.11,2,NA,-5.8248351234219
"114","5161:35","5161:35",0,2002,3,102.09,-140.11,1,NA,-21.8248351234219
"115","5161:36","5161:36",1,2004,37,102.19,-140.17,3,NA,12.1751648765781
"116","5161:36","5161:36",1,2003,13,102.19,-140.17,2,NA,-11.8248351234219
"117","5161:36","5161:36",0,2002,2,102.19,-140.17,1,NA,-22.8248351234219
"118","5161:37","5161:37",1,2004,41,103.2,-139.43,3,NA,16.1751648765781
"119","5161:37","5161:37",1,2003,31,103.2,-139.43,2,NA,6.1751648765781
"120","5161:37","5161:37",0,2002,2,103.2,-139.43,1,NA,-22.8248351234219
"121","5161:38","5161:38",0,2003,28,108.15,-135.06,2,NA,3.1751648765781
