"","uID","uLoc","rep","year","height","height_prev","X","Y"
"4156","5197:1581","5197:1581",1,2004,23,3,36.1,-45.93
"4158","5197:1582","5197:1582",1,2007,34.6,27.6,37.74,-45.68
"4159","5197:1582","5197:1582",1,2006,27.6,31.8,37.74,-45.68
"4160","5197:1582","5197:1582",1,2005,31.8,26,37.74,-45.68
"4161","5197:1582","5197:1582",1,2004,26,7,37.74,-45.68
"4180","5197:1591","5197:1591",1,2004,19,2,36.35,-47.6
"4184","5197:1593","5197:1593",1,2007,37.5,14.6,36.42,-48.44
"4185","5197:1593","5197:1593",1,2006,14.6,25.3,36.42,-48.44
"4186","5197:1593","5197:1593",1,2005,25.3,29,36.42,-48.44
"4187","5197:1593","5197:1593",1,2004,29,30,36.42,-48.44
"4190","5197:1594","5197:1594",1,2005,23.2,9,35.04,-48.21
"4191","5197:1594","5197:1594",0,2004,9,4,35.04,-48.21
"4193","5197:1595","5197:1595",1,2007,50.1,18.8,34.71,-48.35
"4194","5197:1595","5197:1595",0,2006,18.8,29.9,34.71,-48.35
"4195","5197:1595","5197:1595",1,2005,29.9,45,34.71,-48.35
"4196","5197:1595","5197:1595",1,2004,45,40,34.71,-48.35
"4199","5197:1596","5197:1596",1,2005,29.1,20,36.61,-43.65
"4200","5197:1596","5197:1596",1,2004,20,5,36.61,-43.65
"4203","5197:1597","5197:1597",1,2005,29.1,3,34.42,-47.83
"4204","5197:1597","5197:1597",0,2004,3,2,34.42,-47.83
"4207","5197:1598","5197:1598",1,2005,23.2,5,34.44,-47.85
"4208","5197:1598","5197:1598",0,2004,5,2,34.44,-47.85
"4211","5197:1599","5197:1599",1,2005,18.7,21,34.56,-47.77
"4212","5197:1599","5197:1599",0,2004,21,7,34.56,-47.77
"4215","5197:1600","5197:1600",0,2004,10,4,34.45,-48.72
"4217","5188:1601","5188:1601",0,2004,23,13,88.47,-124.02
"4219","5188:1602","5188:1602",1,2004,32,37,88.41,-124.13
"4221","5188:1603","5188:1603",1,2004,31,11,89.23,-123.56
"4223","5247:1604","5247:1604",1,2004,45,53,97.04,-121.89
"4225","5247:1605","5247:1605",1,2004,31,19,98.09,-122.18
"4227","5247:1606","5247:1606",1,2004,47,33,98.34,-122.17
"4229","5247:1607","5247:1607",1,2004,43,40,98.41,-122.42
"4231","5247:1608","5247:1608",1,2004,31,19,98.39,-122.31
"4233","5247:1609","5247:1609",1,2004,48,33,98.46,-121.7
"4235","5247:1610","5247:1610",1,2004,34,46,98.23,-121.42
"4237","5247:1611","5247:1611",1,2004,42,32,98.32,-121.42
"4239","5247:1612","5247:1612",1,2004,48,36,98.3,-121.3
